artist,title,description,curator,bandcamp link,soundcloud private share link
Caffeine,Redux [CAA-001],"Recorded in concert on February 20, 2014 by Dave Zuchowski at Constellation, Chicago. Mixed and mastered by Dave Zuchowski, One Room Studio. Jim Baker: keyboards. Steve Hunt: percussion. Ken Vandermark: reeds.",Catalytic Sound,https://vandermark1.bandcamp.com/album/redux,https://soundcloud.com/user-861231864/sets/caffeine-redux-caa-001/s-FhWRIxqoIMV
Joe McPhee / John Heward / Joe Giardullo,Erotic Winds [CAA-002],John Heward: Drums/Percussion. Joe Giardullo: Soprano Saxophone. Joe McPhee: Pocket Trumpet. Released November 2018.,Catalytic Sound,https://joemcphee.bandcamp.com/album/erotic-winds,https://soundcloud.com/user-861231864/sets/erotic-winds-caa-002/s-Lft3OqYxxTd
Tim Daisy & Frank Rosaly ,Northern Duets [CAA-003],"Recorded live on WNUR December 18, 2007. Notes from the session: ""Drums/percussion duo from Chicago who stretch the boundaries of improvised music. We believe the floor of our studio became one more instrument in their seemingly unlimited percussive arsenal."" Tim Daisy: Percussion. Frank Rosaly: Percussion. Recorded by: Mike Corsa. Mastered by: Dave Zuchowski.",Catalytic Sound,https://timdaisyrelayrecordings.bandcamp.com/album/northern-duets,https://soundcloud.com/user-861231864/northernduets-caa-003/s-e3JLwblruPK
Heart of the Ghost,Live in Chicago [CAA-004],"Recorded live at the Hungry Brain in Chicago on March 25, 2018 by David Zuchowski. Mastered by Jon Lipscomb. Jarrett Gilgore: Alto Saxophone. Luke Stewart: Upright Bass and Amplifier. Ian McColm: Drums and Cymbals. January, 2019.",Catalytic Sound,https://lukestewart1.bandcamp.com/album/live-in-chicago,https://soundcloud.com/user-861231864/sets/live-in-chicago-caa-004/s-ol03rLRdMx4
Tim Daisy / Terrie Hessels / Dave Rempis,SUGAR/SHACK [CAA-005],"Recorded live at Okkafest at the Sugar Maple in Milwaukee, WI on June 21st, 2013. Tim Daisy: Drums. Terrie Hessels: Guitar. Dave Rempis: Saxophones.",Catalytic Sound,https://daverempiscatalyticsound.bandcamp.com/album/sugar-shack,https://soundcloud.com/user-861231864/sets/sugarshack-caa-005/s-VoQJEoKxlQx
Duo Baars Henneman,Vancouver Live Sound (In Memory of Ken Pickering) [CAA-006],"A concert April 15, 2011 in Vancouver, Canada, organized by Ken Pickering and Rainbow Robert, Coastal Jazz & Blues Society. ""In all its beauty, failures, misses, and things that worked out ok."" Ab Baars: tenor sax, clarinet, shakuhachi. Ig Henneman: viola. Recorded by: Andrew Smith. Released March, 2019.",Catalytic Sound,https://abbaarsighennemanwig.bandcamp.com/album/vancouver-live-sound-in-memory-of-ken-pickering,https://soundcloud.com/user-861231864/sets/vancouver-live-sound-april-14-2011-in-memory-of-ken-pickering-caa-006/s-xG0Ync7V9tK
Joe Morris & Christian Weber,Live in Zurich [CAA-007],"Recorded October 11, 2017 at Institut Zurich, Switzerland. Engineered by Enrique Mendez Ramallo. Special thanks to Pablo Assandri. Joe Morris: guitar. Christian Weber: bass.",Catalytic Sound,https://joemorrisritiglacialeratic.bandcamp.com/album/live-in-zurich-caa-007,https://soundcloud.com/user-861231864/sets/live-in-zurich-caa-007/s-u9hyDS3Xm3T
Courvoisier / Demierre,HOODOOS [CAA-008],"Sylvie Courvoisier: piano. Jacques Demierre: piano. Recorded live in Lausanne, September 2018.",Catalytic Sound,https://sylviecourvoisier.bandcamp.com/album/hoodoos-caa-008,https://soundcloud.com/user-861231864/sets/hoodoos-caa-008/s-ctLpWyh14Z8
Kerbaj / Håker Flaten / Buck,MOT [CAA-009],"Recorded in Berlin by Tony Buck on April 24, 2017. Mixed and mastered by Tony Buck, May & June 2019. Mazen Kerbaj: trumpet. Ingebrigt Håker Flaten: bass. Tony Buck: drums.",Catalytic Sound,,https://soundcloud.com/user-861231864/sets/mazen-kerbaj-ingebrigt-haker-flaten-tony-buck-mot-caa-009/s-dXEIA8ZjPKU
Elisabeth Harnik / Dave Rempis / Michael Zerang,Triple Tube [CAA-010],"Dave Rempis: Saxophone. Elisabeth Harnik: Piano. Michael Zerang: Drums. Mastered by Iztok Zupan, Kunsthaltestelle Streckhammerhaus.",Catalytic Sound,,https://soundcloud.com/user-861231864/triple-tube-caa-010/s-1nl3DOtjSk9
