artist,title,description,curator,bandcamp link,soundcloud private share link
Joe McPhee Trio,Impressions of Jimmy Giuffre,"""This beautiful set is full of a unique tenderness, and comes out as a very personal statement that should not be missed."" -Alain Drouot, All Music",Catalytic Sound,https://joemcphee.bandcamp.com/album/impressions-of-jimmy-giuffre,https://soundcloud.com/user-861231864/sets/impressions-of-jimmy-giuffre/s-ofZH0CdY8Q5
Paal Nilssen-Love,"The Quintet (July 8th, 1998)","“A recording which provides an exciting glimpse into Paal’s musical roots. In addition, it represents a historic transfer between a generation of musicians who came up with and played alongside Jan Garbarek and Arild Andersen, to those who would carry the Norwegian scene into the 21st century.” - Ken Vandermark. Carl Magnus Neumann: sax. Bjørnar Andresen: double bass. Eivind Opsvik: double bass. Ketil Gutvik: guitar. Paal Nilssen-Love: drums & percussion. 1998/2019.",Ken Vandermark,https://paalnilssen-love.bandcamp.com/album/events-1998-1999,https://soundcloud.com/user-861231864/the-quintet-events-1998_1999-july-8th-1998/s-q3CesEFxIFV
Mats Gustafsson & Hamid Drake,For Don Cherry,"""Rhythmic virtuoso Hamid Drake and reeds innovator Mats Gustafsson deliver a jaw-dropping and all-too-brief set recorded in Chicago on Oct. 19, 1995, the day of Don Cherry’s death and recorded by Jim O'Rourke. One of the few live records to make this listener earnestly wish she’d been in attendance, Drake and Gustafsson’s meeting is a perfect example of the phenomenal synergy possible between two musicians. The two in question are an ideal match; both temper the muscularity of their playing with sensitivity and musical sophistication. Neither artist allows the other the option of sitting on his heels at any point; this recording is challenging, intense, and enjoyable from start to finish."" –Susie Jae, ON AIR magazine, WKCR 89.9 FM (New York)",Catalytic Sound,https://gustafsson1.bandcamp.com/album/for-don-cherry,https://soundcloud.com/user-861231864/sets/for-don-cherry/s-CxZRQ0e9yEH
Deep Listening Band / Joe McPhee Quartet,Unquenchable Fire,"“On Unquenchable Fire, the musicians have brought the full force of their intelligence and sensitivity to Oliveros’ vision, creating a listening experience both memorable and evocative.” -Florence Wetzel. Deep Listening Band: Pauline Oliveros - accordion. Stuart Dempster - trombone, didjeridu. David Gamper - keyboard, flutes, electronics. Joe McPhee Quartet: Joe McPhee - soprano sax, alto clarinet, casio digital horn. Joe Giardullo - flutes, bass clarinet. Monica Wilson - cello.Karen Jurgens - drums. Text read by Rachel Pollack. 2003",Catalytic Sound,https://joemcphee.bandcamp.com/album/unquenchable-fire,https://soundcloud.com/user-861231864/sets/deep-listening-band-joe-mcphee-quartet/s-BJoUCzCu4Yz
Henneman Strijkkwartet,Pes,"""The string quartet is an instrumental combination most often heard in many different genres of classical music; in fact, it is one of the standard groupings for this music, whereas it is a more rare enterprise in improvised music. Certainly there are examples of string players getting together to improvise, but the results can not so often be compared favorably with great classical string quartets. The Dutch viola player and composer Henneman is making great progress in this area however, as she has found a regular group of musicians to work with, evidenced by the six-year span of recording dates. The difficult task of integrating composition and improvisation is carried out with aplomb by this group: they actually make it sound easy. A nice combination of male and female energy exists in this group, as well as a combination of Dutch musicians and so-called ex-patriot Americans who have settled in the Netherlands. The players are comfortable working in a traditional, melodic, and harmonic manner but also can and do go way out. Everything that happens makes logical sense, and this is music that reveals rich layers of detail upon repeated listenings."" - Eugene Chadbourne (All Music)",Catalytic Sound,https://abbaarsighennemanwig.bandcamp.com/album/pes,https://soundcloud.com/user-861231864/sets/pes/s-3Os70kM6UHr
Joe Morris Quartet,Underthru,"""it is the most overtly jazz-based recording in the Morris catalog... Underthru swings and grooves and leaves a lot of space for interaction."" -Larry Appelbaum, JazzTimes",Catalytic Sound,https://joemorrisritiglacialeratic.bandcamp.com/album/underthru,https://soundcloud.com/user-861231864/sets/underthru/s-UTPXEBJJ5P6
AALY Trio + Ken Vandermark,Hidden In The Stomach,"“The playing is often turbulent and roiling, but never wanders so far afield as to become divorced from the structure of the compositions, which tends to be blues based or even noir-ish.” -Brian Olewnick, AllMusic. Mats Gustafsson tenor sax, baritone sax (right channel). Ken Vandermark tenor sax, clarinet, bass-clarinet (left channel). Peter Janson bass. Kjell Nordeson drums, percussion. 1998.
",Catalytic Sound,https://vandermark1.bandcamp.com/album/aaly-trio-ken-vandermark-hidden-in-the-stomach,https://soundcloud.com/user-861231864/sets/ken-vandermark-aaly-trio-ken-vandermark-hidden-in-the-stomach/s-n39YOI5ChkF
Carl Fredrik Reuterswärd,Carl Fredrik Reuterswärd,"This is an album produced by Mats Gustafsson and Thomas Millroth and it's a unique document of the artist's work with spoken word and poetry, mixed with avant garde editing and sound processing. A special album for the curious spirits!",Catalytic Sound,https://gustafsson1.bandcamp.com/album/carl-fredrik-reutersw-rd,https://soundcloud.com/user-861231864/sets/carl-fredrik-reutersward/s-GiPJTLutuOC
Mats Gustafsson,Mouth Eating Trees,"“I heard a cassette of this album in gallery and record label director John Corbett’s car while driving along Lake Shore Drive about 25 years ago. It was my first encounter with Mats’ playing, and I was nothing short of terrified.” - Ken Vandermark. Mats Gustafsson: Fluteophone, tenor saxophone, baritone saxophone. Barry Guy: double bass. Paul Lovens: Selected and unselected drums and cymbals, musical saw. 1996.",Ken Vandermark,https://gustafsson1.bandcamp.com/album/mouth-eating-trees-and-related-activities?label=1651542186&tab=music,https://soundcloud.com/user-861231864/sets/gustafsson-guy-lovens-mouth-eating-trees-and-related-activities/s-NA1yTpmWtqu
"Joe Morris, Ken Vandermark & Hans Poppel",Like Rays,"""There are moments of subtle understatement as well as bursting intensity, and it all flows along with the collective intent that characterizes free music (or any kind of jazz) when it's really happening."" -JazzTimes",Catalytic Sound,https://vandermark1.bandcamp.com/album/like-rays,https://soundcloud.com/user-861231864/sets/like-rays/s-tGGoDeyzqz5
