artist,title,description,curator,bandcamp link,soundcloud private share link
Ben Bennett / Zoots Houston / Fred Lonberg-Holm,Pinkie No,"""Notice Recordings’ Chicago origins were heavily galvanized by regularly seeing sets by cellist Fred Lonberg-Holm and multi-instrumental improviser Zoots Houston. Both have since separately relocated to Kingston, NY, where they continue to engage with the kinds of musical exchanges exemplified here. This set, recorded live at Chicago’s Elastic Arts, finds them performing with percussionist Ben Bennett. Bennett, a musician and performance artist, is a notable figure in the current and vibrant free improv and jazz scene in NYC; recent collaborations include Michael Foster and Jack Wright, among others. All three players metaphorically deconstruct their instruments while scattering pockets of agitated hot air on the performance floor, augmented with pedals, radioesque static sweeps, tightly propelled breaths, and extended techniques. This is dry, heavily structural, bristling stuff, with periodic digressions into melody and a strong control of focused and at times uncomfortably magnified timbres. Much of the material is urgent and electronic, filling the space and remaining firmly gestural. These two sidelong sets display slices of time coming from strong voices within this niche of contemporary improvisation."" - Notice Recordings
BEN BENNETT - percussion, ZOOTS HOUSTON - synthesizer, objects, FRED LONBERG-HOLM - cello. November 2019.",Notice Recordings,https://noticerecordings.bandcamp.com/album/pinkie-no,https://soundcloud.com/user-861231864/sets/ben-bennett-zoots-houston-fred-lonberg-holm-pinkie-no/s-i4CrOV6nWpO
Sarah Hennies & Greg Stuart,Rundle,"""Sarah Hennies and Greg Stuart have both primarily been known as percussionists, and although Hennies has lately been exploring more performance art and conceptual modes of expression, their work on Rundle reminds us of their strong voices within minimal improvisation. Subtly employing a broad palette of expertly recorded sounds, they move through a series of aural events and sequences of beguiling complexity. Also working as two-thirds of the trio Meridian, Hennies and Stuart share a strong sense of direction, making deeply assured choices that move in and out of narrative and coherence without betraying dynamic limits. The pair create distinctive and purposeful music that pushes against the boundaries of contemporary minimal performance."" - Notice Recordings
SARAH HENNIES & GREG STUART - percussion, piano, objects. October 2018.",Notice Recordings,https://noticerecordings.bandcamp.com/album/rundle,https://soundcloud.com/user-861231864/sets/sarah-hennies-greg-stuart-rundle/s-WnwEsrRPwA7
Jason Kahn & Tim Olive,Fukuoka / Osaka,"""Kahn and Olive both demonstrate exceptional attention to unrecognized sounds (see Kahn's ongoing Unheard Cities project), and one of the unique attributes of these pieces is their ability to make sounds whose sources, even with limited tools, aren't quite placeable. Their sound palette occasionally finds tension between understood words and speech as sound: hearing a sound that may or may not be speech, and speech that may or may not be understandable. They possess a unique resourcefulness on this release that makes it a surprising listen."" - Notice Recordings
JASON KAHN - analogue synthesizer, radio, mixing board, mixing, mastering, TIM OLIVE - magnetic pickups. September 2015.",Notice Recordings,https://noticerecordings.bandcamp.com/album/fukuoka-osaka,https://soundcloud.com/user-861231864/sets/jason-kahn-tim-olive-fukuoka-osaka/s-XtI5VQfFbbH
Rafael Toral,Space Collective 2 Live,"""These recordings, taken from a live set at All Tomorrow’s Parties in 2012, find Toral performing with drummer Afonso Simões, developing sparse, deep textures with triggers and modular oddities. Smartly paced and absolutely blistering at times, this set touches on a variety of surprising tones: flute-like expressions, spacey warbles, and intricately patterned arpeggios that dissolve into drone sections with confrontational sonic palettes."" - Notice Recordings
RAFAEL TORAL - electronics
ALFONSO SIMÕES - drums. October 2015",Notice Recordings,https://noticerecordings.bandcamp.com/album/space-collective-2-live,https://soundcloud.com/user-861231864/sets/rafael-toral-space-collective-2-live/s-ZtHvwRgw08h
Dudu Pukwana / Misha Mengelberg / Han Bennink ,Yi Yole,"""Recorded at the ICP Jubileum, a festival in Uithoorn, Holland, in 1978, Yi Yole brings together the core of the Instant Composers Pool – pianist Misha Mengelberg and drummer Han Bennink – with legendary South African alto saxophonist Dudu Pukwana. Longtime member of the Blue Notes, Pukwana was a beloved figure in European free music after he left South Africa in the mid-sixties and settled in London. There he worked with all of the leading lights of free improvised music, recording extensively with the Brotherhood of Breath and eventually releasing LPs under his own leadership before his untimely passing in 1990 at the age of 51. What the three tracks on Yi Yole make clear is how surprisingly well the Dutch and South African sensibilities fit together, an overall relaxed vibe leading to unforeseen directions in the music. Han Bennink ranges far beyond his drum kit and its metallic add-ons, playing trombone, clarinet, and viola; his collage design for the record, as with all ICP productions, is brilliant and perfectly matched to the music. This is the only time these three prime movers of free music would record as a trio, hitting just at the moment when the Instant Composers Pool was gaining momentum and South African jazz was growing in international stature. Released on ICP, Mengelberg/Bennink’s self-produced label, Yi Yole saw limited distribution and attention in its time, but it remains an absolute classic of improvised music, presented here in all its glory with Bennink’s design, remastered from original tapes, the box of which is reproduced on the interior spread, replete with never-seen hand notations."" - Corbett vs Dempsey",Corbett vs. Dempsey,https://corbettvsdempsey.bandcamp.com/album/yi-yole,https://soundcloud.com/user-861231864/sets/dudu-pukwana-misha-mengelberg-han-bennink-yi-yole/s-JyorXHt0Gsp
ICP Tentet,Tetterettet,"""Recorded in 1977, the Instant Composers Pool’s Tetterettet is the first classic of the band’s larger incarnations. Assembled out of elements recorded live in Uithoorn, Utrecht, and the band’s home base of Amsterdam, with Misha Mengelberg using a cut-and-paste collage method akin to Teo Macero’swork with Miles Davis, the record features an all star lineup that added three leading lights of free music: bassist Alan Silva and saxophonists John Tchicai and Peter Brötzmann. In this period, Brötzmann made the long train trip from Wuppertal, Germany, to A’dam on a weekly basis to rehearse with ICP, bassist Silva coming in from Paris. Well known for his work in pioneer creative music ensembles such as the New York Art Quartet and the New York Contemporary Five and on John Coltrane’s Ascention, Tchicai was the Paul Desmond of free jazz, with a softer, more subtle phraseology than many of his peers. These international figures joined pianist Mengelberg and drummer Han Bennink – whose ICP co-founder Willem Breuker had broken off to form what would be come his long-time working band, the Kollektief – and their outrageous, hyper-inventive big band. Michel Waiswicz, who invented the crackle box, a user-friendly, portable electronic instrument, is a defining presence on Mengelberg’s multipart “Tetterettet,” and along with the heavyweight outta towners the band includes composer, oboist, and saxophonist Gilius Van Bergeyk, whose sequence of compositions nestle perfectly into Misha’s, Han’s gifted brother Peter Bennink on saxes, trombonist Bert Koppelaar, and cellist Tristan Honsinger, who has continued to work with the ensemble even after Misha’s death in 2017. One of the landmark records of Mengelberg tunes, with classics like “Rumboon” and “Alexander’s Marschbefehel,” Tetterettet presents a program full of musical surprises, intelligence, and ICP’s own brand of uproarious humor. A shaggy masterpiece, available here for the first time as a stand-alone CD, remastered from the original tapes, with Han Bennink’s original cover design and a contemporaneous photo from the archives of Gérard Rouy."" - Corbett vs Dempsey",Corbett vs. Dempsey,https://corbettvsdempsey.bandcamp.com/album/tetterettet,https://soundcloud.com/user-861231864/sets/icp-tentet-tetterettet/s-boiCbVrLPXo
Misha Mengelberg / Peter Brötzmann / Evan Parker / Peter Bennink / Paul Rutherford / Derek Bailey / Han Bennink,Groupcomposing,"""Comprised of a one-time international free music supergroup, originally released as the sixth production on pianist Misha Mengelberg and drummer Han Bennink's ICP label, Groupcomposing has been largely absent from the history books. This is the case because the record has been so unavailable,certainly not as a comment on the magnitude and magnificence of the music. With its Bennink cover – take that Andy Warhol! – and its two side-long tracks, it is an improvised music aficionado's treasure. Mengelberg and Bennink are joined by Bennink's brother, Peter Bennink, on alto saxophone and bagpipes (!), with an incredible reed section of Evan Parker and Peter Brötzmann, Paul Rutherford on trombone, and Derek Bailey on guitar. Moving from peaks of intensity to droning deescalation, totally improvised live in concert in 1970, Groupcomposing should be heard in the company of related records like Brötzmann's Machine Gun and Nipples, the early London Jazz Composer's Orchestra and Globe Unity Orchestra, and Manfred Schoof's European Echoes. The music is reissued here for the first time as a stand-alone CD, with original album art and an interior salon of never-published period photographs by Gérard Rouy. The first in an ongoing series of ICP reissues on Corbett vs. Dempsey, Groupcomposing restores a classic LP to its rightful place in the canon."" - Corbett vs. Dempsey",Corbett vs. Dempsey,https://corbettvsdempsey.bandcamp.com/album/groupcomposing,https://soundcloud.com/user-861231864/sets/mengelberg-brotzmann-parker-bennink-rutherford-bailey-bennink-groupcomposing/s-oD11ZBe6wKv
Willem Breuker / Han Bennink,New Acoustic Swing Duo,"""Late in 1967, saxophonist Willem Breuker and drummer Han Bennink recorded the first LP for the new artist-run free improvised music label, ICP Records. New Acoustic Swing Duo was an instant classic, and remains one of the most enduring documents of Dutch improvised music ever recorded. With Breuker’s omnidirectional reed work, which ranges from plaintive to excoriating, occasional sneering tone adds a kind of ironic twist to the expressive outpouring. He could be as explosive as Peter Brötzmann, but Breuker has a razor sharp wit and sense of humor. Since this recording, Bennink has gone on to be seated among the royalty of jazz and improvised music drummers. At the time, he was a fresh-faced 25-year-old, hauling around increasingly immense kits with heaps of percussion flotsam and jetsam, playing tabla and vibrapan, and sparking it all with tsunami energy. Keep in mind, Coltrane and Ali had just recorded Interstellar Space (which would not be issued until 1974), and the economical drum/sax lineup was by no means yet a standard in improvised music. Shortly after recording this, Breuker and Bennink would join Brötzmann to record Machine Gun, another European free music keystone. Somehow, despite its historical importance and aesthetic magnificence, New Acoustic Swing Duo has never been available as a stand-alone CD. Remastered from original tapes, this reissue includes the original cover with the “ICP 001” hand-stamp, as well as several versions of the handmade covers designed by Bennink, drawn from Mats Gustafsson’s wonderful collection. Finally, as a special bonus, the two-disc package includes a legendary concert by Breuker and Bennink, recorded in Essen, Germany, in 1968, released here for the first time."" - Corbett vs. Dempsey",Corbett vs. Dempsey,https://corbettvsdempsey.bandcamp.com/album/new-acoustic-swing-duo,https://soundcloud.com/user-861231864/sets/willem-breuker-han-bennink-new-acoustic-swing-duo/s-bK8BWiEDkxu
Torbjörn Zetterberg & The Great Question,Live,"""If you’ve missed out on bassist Torbjörn Zetterberg, now’s your chance to play some catch up ball. He’s one of creative music’s most eloquent exponents, having emerged from the fertile Swedish jazz scene a little over 15 years ago. With his band Torbjörn Zetterberg Hot Five, he began a fruitful relationship with the thoroughly excellent Moserobie label, run by his frequent band mate, saxophonist Jonas Kullhammar, and by the time he was making records like Skildrar Kvinnans Kamp and Och Den Stora Frågen, we were completely hooked. Zetterberg is a Mingus for our times. He’s a composer of unusual means – great sense for how to harmonize his inventive melodies; how to make a sextet sound like a big band and how to clear space for an unaccompanied solo; his slightly devious sense of humor underlying all the drive and swing that make the best in a bass player; and best of all a respect for his musicians, who have always found ways to push his great compositions up a notch. This luminous set of tracks was recorded in performance at Stockholm’s famed Jazzclub Fasching. It presents a newly named ensemble, Torbjörn Zetterberg & The Great Question, with Kullhammar and Alberto Pinton on saxophones and clarinets, Portuguese trumpeter Susana Santos Silva, trombonist Mats Äleklint, and drummer Jon Fält. With the exception of the opening passage, which adapts the traditional “Cherry Tree Carol,” all compositions are by Zetterberg, and they make a solid case for him as a jazz writer to be taken seriously. Joyful, powerful, irreverent, and utterly fearless, The Great Question presents its case, answers the initial query, and asks more probing ones."" - Corbett vs. Dempsey",Corbett vs. Dempsey,https://corbettvsdempsey.bandcamp.com/album/live,https://soundcloud.com/user-861231864/sets/torbjorn-zetterberg-the-great-question-live/s-xJy3F4xZfQn
RED trio,Suite 10 Years Anniversary,"""The Portugues RED Trio is without a doubt one of the best piano trios in Europe.  Now, four years later, we get this memorable album with the ""celebration band"", an ad hoc group of musicians, primarily also from Portugal but with the addition of some partners on the previous albums such as John Butcher and Matthias Ståhl. The other members are Sei Miguel and Luís Vicente on trumpet, Fala Mariam on trombone, Pedro Sousa and Rodrigo Amado on tenor saxophone, Nuno Torres on alto saxophone, Ernesto Rodrigues on viola, Ricardo Jacinto and Miguel Mira on cello, Carlos Santos on electronics, Miguel Abreu on voice and electric bass, and David Maranha on percussion. The performance was recorded to celebrate their tenth anniversary at the Teatro Maria Matos in February 2018. The theater itself commissioned the concert ""Suite"", a work in three acts, each written by one of the three founding members, and deliberately composed for the ensemble mentioned above."" - Stef Gijssels, Free Jazz Blog",No Business,http://www.nobusinessrecords.com/red-trio-suite-10-years-anniversary.html,https://soundcloud.com/user-861231864/sets/red-trio-suite-10-years-anniversary/s-cRSYyIJAdMl
